,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE_Duplicate,BEDS_Duplicate,BATHS_Duplicate,SQUARE FEET_Duplicate,YEAR BUILT_Duplicate,PRICE_ESTIMATE
246,MLS Listing,,Condo/Co-op,1219 W Lunt Ave Unit 2B,Chicago,IL,60626,150000,1.0,1.0,CHI - Rogers Park,985.0,,1927.0,1,152.0,282.0,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1219-W-Lunt-Ave-60626/unit-2B/home/13569064,MRED,11267100,N,Y,42.008665,-87.662847,150000,1.0,1.0,985.0,1927.0,195290.56619692035
247,MLS Listing,,Condo/Co-op,100 E Huron St #3505,Chicago,IL,60611,1285000,3.0,2.5,CHI - Near North Side,2880.0,,1991.0,1,446.0,3045.0,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-3505/home/14100154,MRED,11267088,N,Y,41.8953138,-87.624941,1285000,3.0,2.5,2880.0,1991.0,968172.4327647774
252,MLS Listing,,Condo/Co-op,5503 W Edmunds St Unit 1F,Chicago,IL,60630,155450,2.0,1.0,CHI - Jefferson Park,800.0,,1966.0,1,194.0,344.0,Active,,,http://www.redfin.com/IL/Chicago/5503-W-Edmunds-St-60630/unit-1F/home/12576905,MRED,11267068,N,Y,41.971289,-87.764918,155450,2.0,1.0,800.0,1966.0,71449.5445135925
253,MLS Listing,,Condo/Co-op,4907 N Ravenswood Ave Unit 1S,Chicago,IL,60640,650000,3.0,2.5,CHI - Uptown,2400.0,,2011.0,1,271.0,303.0,Active,November-14-2021 12:00 PM,November-14-2021 02:00 PM,http://www.redfin.com/IL/Chicago/4907-N-Ravenswood-Ave-60640/unit-1S/home/52592823,MRED,11267067,N,Y,41.972028,-87.6739218,650000,3.0,2.5,2400.0,2011.0,838256.4520561211
254,MLS Listing,,Condo/Co-op,345 N Canal St #1607,Chicago,IL,60606,329999,1.0,1.0,CHI - Near West Side,1055.0,,1898.0,1,313.0,707.0,Active,,,http://www.redfin.com/IL/Chicago/345-N-Canal-St-60606/unit-1607/home/14101260,MRED,11267066,N,Y,41.8882217,-87.639654,329999,1.0,1.0,1055.0,1898.0,184769.15330957342
256,MLS Listing,,Condo/Co-op,416 N Ada St #3,Chicago,IL,60622,374900,3.0,2.0,CHI - West Town,1400.0,,2005.0,1,268.0,316.0,Active,,,http://www.redfin.com/IL/Chicago/416-N-Ada-St-60642/unit-3/home/12610576,MRED,11267058,N,Y,41.8893797,-87.6611348,374900,3.0,2.0,1400.0,2005.0,408173.7909973841
258,MLS Listing,,Townhouse,4015 W 58th Pl,Chicago,IL,60629,184500,2.0,1.5,CHI - West Elsdon,1125.0,,1944.0,1,164.0,,Active,,,http://www.redfin.com/IL/Chicago/4015-W-58th-Pl-60629/home/14005575,MRED,11267048,N,Y,41.7866658,-87.7236687,184500,2.0,1.5,1125.0,1944.0,255430.96693446627
259,MLS Listing,,Condo/Co-op,210 E Pearson St Unit 4D,Chicago,IL,60611,450000,2.0,2.0,CHI - Near North Side,1400.0,,1926.0,1,321.0,1146.0,Active,November-14-2021 01:30 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Chicago/210-E-Pearson-St-60611/unit-4D/home/22916417,MRED,11267044,N,Y,41.8978254,-87.6212025,450000,2.0,2.0,1400.0,1926.0,428044.8176642251
261,MLS Listing,,Condo/Co-op,1240 N Lake Shore Dr Unit 17A,Chicago,IL,60610,825000,3.0,2.5,CHI - Near North Side,2000.0,,1970.0,1,413.0,1850.0,Active,November-13-2021 02:00 PM,November-13-2021 04:00 PM,http://www.redfin.com/IL/Chicago/1240-N-Lake-Shore-Dr-60610/unit-17A/home/14125127,MRED,11267040,N,Y,41.905113,-87.62552,825000,3.0,2.5,2000.0,1970.0,664844.5551251294
263,MLS Listing,,Single Family Residential,8237 S Dante Ave,Chicago,IL,60619,359900,5.0,3.5,CHI - Avalon Park,3000.0,4599.0,1910.0,1,120.0,,Active,,,http://www.redfin.com/IL/Chicago/8237-S-Dante-Ave-60619/home/13222897,MRED,11267029,N,Y,41.7448662,-87.5890671,359900,5.0,3.5,3000.0,1910.0,907695.7016668743
264,MLS Listing,,Single Family Residential,3941 N Oak Park Ave N,Chicago,IL,60634,390000,3.0,3.0,CHI - Dunning,1800.0,4499.0,1927.0,1,217.0,,Active,November-13-2021 11:00 AM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/3941-N-Oak-Park-Ave-60634/home/13468864,MRED,11267021,N,Y,41.9520488,-87.7959875,390000,3.0,3.0,1800.0,1927.0,658292.5929491492
