,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE_Duplicate,BEDS_Duplicate,BATHS_Duplicate,SQUARE FEET_Duplicate,YEAR BUILT_Duplicate,PRICE_ESTIMATE
0,MLS Listing,,Condo/Co-op,1335 S Prairie Ave #1105,Chicago,IL,60605,799000,3.0,2.5,Museum Park Tower II,2076.0,,2003.0,1,385.0,1170.0,Active,,,http://www.redfin.com/IL/Chicago/1335-S-Prairie-Ave-60605/unit-1105/home/12669427,MRED,11268174,N,Y,41.8646742,-87.6207646,799000,3.0,2.5,2076.0,2003.0,726273.6657196353
1,MLS Listing,,Single Family Residential,4944 W Roscoe St,Chicago,IL,60641,424900,4.0,3.5,CHI - Portage Park,2921.0,4173.0,1924.0,1,145.0,,Active,,,http://www.redfin.com/IL/Chicago/4944-W-Roscoe-St-60641/home/13459053,MRED,11268165,N,Y,41.9426263,-87.7512488,424900,4.0,3.5,2921.0,1924.0,1007532.188520534
2,MLS Listing,,Single Family Residential,8111 S Scottsdale Ave,Chicago,IL,60652,265000,3.0,1.0,CHI - Ashburn,998.0,,1956.0,1,266.0,,Active,,,http://www.redfin.com/IL/Chicago/8111-S-Scottsdale-Ave-60652/home/13970844,MRED,11268170,N,Y,41.7459643,-87.7371723,265000,3.0,1.0,998.0,1956.0,13942.019276513252
3,MLS Listing,,Condo/Co-op,4335 N Mozart St #1,Chicago,IL,60618,325000,3.0,2.0,CHI - Irving Park,1875.0,,2002.0,1,173.0,248.0,Active,November-14-2021 11:00 AM,November-14-2021 12:30 PM,http://www.redfin.com/IL/Chicago/4335-N-Mozart-St-60618/unit-1/home/12727392,MRED,11266874,N,Y,41.9604574,-87.6993442,325000,3.0,2.0,1875.0,2002.0,555706.7675297279
4,MLS Listing,,Single Family Residential,5736 S Loomis Blvd,Chicago,IL,60636,159900,5.0,2.0,CHI - West Englewood,1953.0,3123.0,1906.0,1,82.0,,Active,,,http://www.redfin.com/IL/Chicago/5736-S-Loomis-Blvd-60636/home/13941117,MRED,11268151,N,Y,41.7893705,-87.6598662,159900,5.0,2.0,1953.0,1906.0,253792.7138958876
5,MLS Listing,,Single Family Residential,6619 S Saint Lawrence Ave,Chicago,IL,60619,149900,4.0,1.0,CHI - Chatham,1744.0,3027.0,1915.0,1,86.0,,Active,,,http://www.redfin.com/IL/Chicago/6619-S-St-Lawrence-Ave-60637/home/13930091,MRED,11268149,N,Y,41.7742661,-87.6103743,149900,4.0,1.0,1744.0,1915.0,95528.99473957624
6,MLS Listing,,Condo/Co-op,2912 N Commonwealth Ave Unit 10CD,Chicago,IL,60657,1300000,4.0,3.5,CHI - Lake View,4500.0,,1929.0,1,289.0,2379.0,Active,,,http://www.redfin.com/IL/Chicago/2912-N-Commonwealth-Ave-60657/unit-10CD/home/104210194,MRED,11268146,N,Y,41.9348315,-87.6383318,1300000,4.0,3.5,4500.0,1929.0,1514878.1051171925
7,MLS Listing,,Single Family Residential,3226 N Ozark Ave,Chicago,IL,60634,335000,4.0,2.0,CHI - Dunning,979.0,,1943.0,1,342.0,,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/3226-N-Ozark-Ave-60634/home/13540864,MRED,11264442,N,Y,41.938729,-87.8204904,335000,4.0,2.0,979.0,1943.0,95244.10148761142
10,MLS Listing,,Condo/Co-op,2000 N Lincoln Park West #802,Chicago,IL,60614,499000,2.0,2.0,CHI - Lincoln Park,1250.0,,1931.0,1,399.0,890.0,Active,,,http://www.redfin.com/IL/Chicago/2000-N-Lincoln-Park-W-60614/unit-802/home/12659120,MRED,11268125,N,Y,41.9199016,-87.6365672,499000,2.0,2.0,1250.0,1931.0,386033.893497529
12,MLS Listing,,Condo/Co-op,1151 W 14th Pl #301,Chicago,IL,60608,325000,1.0,1.0,University Commons,1005.0,,2004.0,1,323.0,437.0,Active,,,http://www.redfin.com/IL/Chicago/1151-W-14th-Pl-60608/unit-301/home/18935040,MRED,11268111,N,Y,41.8623228,-87.6562151,325000,1.0,1.0,1005.0,2004.0,288635.4855501116
14,MLS Listing,,Condo/Co-op,6145 N Sheridan Rd Unit 30C,Chicago,IL,60660,270000,2.0,2.0,Edgewater Beach,1600.0,,1970.0,1,169.0,935.0,Active,November-14-2021 11:30 AM,November-14-2021 01:00 PM,http://www.redfin.com/IL/Chicago/6145-N-Sheridan-Rd-60660/unit-30C/home/13412565,MRED,11268101,N,Y,41.993558,-87.654636,270000,2.0,2.0,1600.0,1970.0,541299.7538002487
16,MLS Listing,,Condo/Co-op,333 W Hubbard St #305,Chicago,IL,60654,359999,2.0,2.0,Union Square Lofts,1184.0,,1998.0,1,304.0,814.0,Active,,,http://www.redfin.com/IL/Chicago/333-W-Hubbard-St-60654/unit-305/home/12766424,MRED,11268081,N,Y,41.8894049,-87.6366024,359999,2.0,2.0,1184.0,1998.0,440756.5081854691
19,MLS Listing,,Single Family Residential,5305 N Austin Ave,Chicago,IL,60630,350000,2.0,2.0,Gladstone Park,1018.0,3720.0,1953.0,1,344.0,,Active,,,http://www.redfin.com/IL/Chicago/5305-N-Austin-Ave-60630/home/13501767,MRED,11268071,N,Y,41.9776849,-87.777861,350000,2.0,2.0,1018.0,1953.0,337174.68074805476
21,MLS Listing,,Condo/Co-op,260 E Chestnut St #3105,Chicago,IL,60611,299000,1.0,1.0,CHI - Near North Side,936.0,,1963.0,1,319.0,678.0,Active,,,http://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-3105/home/14119166,MRED,11268054,N,Y,41.8986644,-87.6196021,299000,1.0,1.0,936.0,1963.0,220392.53847028827
22,MLS Listing,,Single Family Residential,11635 S Vincennes Ave,Chicago,IL,60643,285000,4.0,1.5,CHI - Morgan Park,918.0,3123.0,1974.0,1,310.0,,Active,,,http://www.redfin.com/IL/Chicago/11635-S-Vincennes-Ave-60643/home/13069233,MRED,11268058,N,Y,41.6823782,-87.6686892,285000,4.0,1.5,918.0,1974.0,5311.351580351591
23,MLS Listing,,Condo/Co-op,632 W Wrightwood Ave Unit 4W,Chicago,IL,60614,615000,2.0,2.0,CHI - Lincoln Park,1660.0,,1997.0,1,370.0,436.0,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/632-W-Wrightwood-Ave-60614/unit-4W/home/12806106,MRED,11268057,N,Y,41.929704,-87.644165,615000,2.0,2.0,1660.0,1997.0,590866.7039965149
24,MLS Listing,,Condo/Co-op,10518 S Artesian Ave Unit 1N,Chicago,IL,60655,115000,2.0,1.0,CHI - Beverly,1000.0,,1955.0,1,115.0,169.0,Active,,,http://www.redfin.com/IL/Chicago/10518-S-Artesian-Ave-60655/unit-1N/home/12816800,MRED,11268061,N,Y,41.7022167,-87.6831132,115000,2.0,1.0,1000.0,1955.0,122568.55205901852
26,MLS Listing,,Condo/Co-op,2221 N Lister Ave Unit 3F,Chicago,IL,60614,350000,2.0,2.0,CHI - Logan Square,1455.0,,1918.0,1,241.0,375.0,Active,,,http://www.redfin.com/IL/Chicago/2221-N-Lister-Ave-60614/unit-3F/home/12771617,MRED,11268047,N,Y,41.9220547,-87.674516,350000,2.0,2.0,1455.0,1918.0,436482.0675621587
27,MLS Listing,,Condo/Co-op,421 W Huron St #1504,Chicago,IL,60654,515000,2.0,2.0,CHI - Near North Side,1200.0,,2001.0,1,429.0,846.0,Active,,,http://www.redfin.com/IL/Chicago/421-W-Huron-St-60654/unit-1504/home/12738292,MRED,11259893,N,Y,41.8944434,-87.6395533,515000,2.0,2.0,1200.0,2001.0,449229.4361151308
29,MLS Listing,,Condo/Co-op,33 W Delaware Pl Unit 12D,Chicago,IL,60610,265000,1.0,1.0,Delaware Place,850.0,,1986.0,1,312.0,682.0,Active,,,http://www.redfin.com/IL/Chicago/33-W-Delaware-Pl-60610/unit-12D/home/12666787,MRED,11268036,N,Y,41.8989101,-87.6293147,265000,1.0,1.0,850.0,1986.0,219051.790959395
32,MLS Listing,,Condo/Co-op,6530 W Irving Park Rd #205,Chicago,IL,60634,165000,1.0,1.0,Merrimac Square,1000.0,,1994.0,1,165.0,257.0,Active,,,http://www.redfin.com/IL/Chicago/6530-W-Irving-Park-Rd-60634/unit-205/home/13470889,MRED,11268029,N,Y,41.953285,-87.790441,165000,1.0,1.0,1000.0,1994.0,275749.38915659627
33,MLS Listing,,Condo/Co-op,360 W Illinois St #117,Chicago,IL,60654,425000,2.0,2.0,CHI - Near North Side,1400.0,,1923.0,1,304.0,709.0,Active,November-14-2021 12:00 PM,November-14-2021 01:30 PM,http://www.redfin.com/IL/Chicago/360-W-Illinois-St-60654/unit-117/home/12738734,MRED,11262449,N,Y,41.8909752,-87.6385396,425000,2.0,2.0,1400.0,1923.0,424655.5851956471
34,MLS Listing,,Single Family Residential,4332 W 82nd Pl,Chicago,IL,60652,319999,5.0,2.5,Crestline,2400.0,5854.0,1956.0,1,133.0,,Active,,,http://www.redfin.com/IL/Chicago/4332-W-82nd-Pl-60652/home/13968917,MRED,11268015,N,Y,41.7429649,-87.7309019,319999,5.0,2.5,2400.0,1956.0,557878.8934533978
36,MLS Listing,,Condo/Co-op,1469 W Winona St #2,Chicago,IL,60640,425000,2.0,1.5,CHI - Uptown,1593.0,,1923.0,1,267.0,315.0,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1469-W-Winona-St-60640/unit-2/home/13399375,MRED,11267997,N,Y,41.9751035,-87.6673875,425000,2.0,1.5,1593.0,1923.0,380404.4318911177
37,MLS Listing,,Townhouse,1328 S Federal St Unit I,Chicago,IL,60605,574999,3.0,2.5,Dearborn Park II,2350.0,,1991.0,1,245.0,574.0,Active,November-14-2021 12:00 PM,November-14-2021 02:30 PM,http://www.redfin.com/IL/Chicago/1328-S-Federal-St-60605/unit-I/home/14085130,MRED,11267999,N,Y,41.8649368,-87.6298684,574999,3.0,2.5,2350.0,1991.0,799775.020616381
38,MLS Listing,,Single Family Residential,3321 W Crystal St,Chicago,IL,60651,875000,5.0,3.5,CHI - Humboldt Park,3000.0,3101.0,2021.0,1,292.0,,Active,,,http://www.redfin.com/IL/Chicago/3321-W-Crystal-St-60651/home/13285385,MRED,11267995,N,Y,41.903543,-87.7101994,875000,5.0,3.5,3000.0,2021.0,1033097.3030042625
39,MLS Listing,,Single Family Residential,2535 W Winona St,Chicago,IL,60625,419900,4.0,2.0,CHI - Lincoln Square,1500.0,2748.0,1910.0,1,280.0,,Active,,,http://www.redfin.com/IL/Chicago/2535-W-Winona-St-60625/home/13490104,MRED,11267982,N,Y,41.9746658,-87.6936846,419900,4.0,2.0,1500.0,1910.0,223500.37778478954
40,MLS Listing,,Single Family Residential,7001 S Throop St,Chicago,IL,60636,74900,2.0,1.0,CHI - West Englewood,1000.0,3123.0,1953.0,1,75.0,,Active,,,http://www.redfin.com/IL/Chicago/7001-S-Throop-St-60636/home/13932153,MRED,11267979,N,Y,41.7667225,-87.6563694,74900,2.0,1.0,1000.0,1953.0,120309.06374663347
41,MLS Listing,,Condo/Co-op,340 W Superior St #801,Chicago,IL,60654,460000,2.0,2.0,CHI - Near North Side,1200.0,,2001.0,1,383.0,734.0,Active,November-14-2021 11:00 AM,November-14-2021 01:00 PM,http://www.redfin.com/IL/Chicago/340-W-Superior-St-60654/unit-801/home/12681425,MRED,11267988,N,Y,41.8957828,-87.6377203,460000,2.0,2.0,1200.0,2001.0,449229.4361151308
42,MLS Listing,,Condo/Co-op,5757 N St. Louis Ave #1,Chicago,IL,60659,399500,3.0,2.5,CHI - North Park,2600.0,,1945.0,1,154.0,400.0,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/5757-N-Saint-Louis-Ave-60659/unit-1/home/177163739,MRED,11267973,N,Y,41.9864268,-87.715949,399500,3.0,2.5,2600.0,1945.0,827239.5310109495
44,MLS Listing,,Condo/Co-op,1235 S Prairie Ave #3209,Chicago,IL,60605,649900,2.0,2.0,Museum Park,1516.0,,2006.0,1,429.0,872.0,Active,,,http://www.redfin.com/IL/Chicago/1235-S-Prairie-Ave-60605/unit-3209/home/18916869,MRED,11267964,N,Y,41.8661749,-87.6213375,649900,2.0,2.0,1516.0,2006.0,555281.142252496
45,MLS Listing,,Condo/Co-op,3201 W Balmoral Ave #202,Chicago,IL,60625,179000,2.0,1.0,CHI - North Park,1000.0,,1971.0,1,179.0,266.0,Active,,,http://www.redfin.com/IL/Chicago/3201-W-Balmoral-Ave-60625/unit-202/home/12614076,MRED,11267970,N,Y,41.9791733,-87.709141,179000,2.0,1.0,1000.0,1971.0,140644.45855810167
46,MLS Listing,,Single Family Residential,2814 N Springfield Ave,Chicago,IL,60618,469000,5.0,3.0,CHI - Avondale,1600.0,3110.0,1898.0,1,293.0,,Active,,,http://www.redfin.com/IL/Chicago/2814-N-Springfield-Ave-60618/home/13448875,MRED,11267962,N,Y,41.9323183,-87.7248133,469000,5.0,3.0,1600.0,1898.0,343742.1891438896
47,MLS Listing,,Single Family Residential,2635 N Albany Ave,Chicago,IL,60647,750000,3.0,3.0,Logan Boulevard,1950.0,3123.0,1925.0,1,385.0,,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/2635-N-Albany-Ave-60647/home/13449791,MRED,11267961,N,Y,41.9296915,-87.7046663,750000,3.0,3.0,1950.0,1925.0,703692.7495844234
48,MLS Listing,,Condo/Co-op,707 W Waveland Ave #1605,Chicago,IL,60613,124999,0.0,1.0,CHI - Lake View,850.0,,1974.0,1,147.0,507.0,Active,,,http://www.redfin.com/IL/Chicago/707-W-Waveland-Ave-60613/unit-1605/home/177163674,MRED,11267958,N,Y,41.9493496,-87.6469733,124999,0.0,1.0,850.0,1974.0,314615.6760911457
49,MLS Listing,,Single Family Residential,5123 W Fletcher St,Chicago,IL,60641,395000,5.0,3.0,CHI - Belmont Cragin,2800.0,3998.0,1925.0,1,141.0,,Active,,,http://www.redfin.com/IL/Chicago/5123-W-Fletcher-St-60641/home/13441456,MRED,11267944,N,Y,41.9375907,-87.7551709,395000,5.0,3.0,2800.0,1925.0,755522.4409423675
52,MLS Listing,,Single Family Residential,2342 W Superior St,Chicago,IL,60612,1995000,5.0,4.0,CHI - West Town,5000.0,3811.0,2017.0,1,399.0,,Active,,,http://www.redfin.com/IL/Chicago/2342-W-Superior-St-60612/unit-2/home/14104570,MRED,11267934,N,Y,41.8950378,-87.6860242,1995000,5.0,4.0,5000.0,2017.0,1769613.4888188015
53,MLS Listing,,Condo/Co-op,210 S Des Plaines St #501,Chicago,IL,60661,409000,2.0,2.0,CHI - Near West Side,1350.0,,2005.0,1,303.0,756.0,Active,,,http://www.redfin.com/IL/Chicago/210-S-Desplaines-St-60661/unit-501/home/12594624,MRED,11267939,N,Y,41.8789423,-87.6445088,409000,2.0,2.0,1350.0,2005.0,501408.05768756056
54,MLS Listing,,Single Family Residential,1740 W 100th St,Chicago,IL,60643,489900,5.0,3.5,CHI - Beverly,2500.0,6599.0,1905.0,1,196.0,,Active,November-14-2021 02:00 PM,November-14-2021 03:30 PM,http://www.redfin.com/IL/Chicago/1740-W-100th-St-60643/home/13097418,MRED,11267928,N,Y,41.7122486,-87.6665318,489900,5.0,3.5,2500.0,1905.0,743181.4977270467
55,MLS Listing,,Condo/Co-op,565 W Quincy St #1703,Chicago,IL,60661,329900,1.0,1.0,CHI - Near West Side,800.0,,2010.0,1,412.0,450.0,Active,,,http://www.redfin.com/IL/Chicago/565-W-Quincy-St-60661/unit-1703/home/171322258,MRED,11267925,N,Y,41.8784439,-87.6420711,329900,1.0,1.0,800.0,2010.0,230279.10239213286
57,MLS Listing,,Single Family Residential,9345 S Damen Ave,Chicago,IL,60643,603750,4.0,2.5,CHI - Beverly,2698.0,9365.0,1929.0,1,224.0,,Active,,,http://www.redfin.com/IL/Chicago/9345-S-Damen-Ave-60643/home/13099689,MRED,11267916,N,Y,41.723354,-87.6724836,603750,4.0,2.5,2698.0,1929.0,731180.4442049414
58,MLS Listing,,Condo/Co-op,4572 N Milwaukee Ave Unit 5A,Chicago,IL,60630,160000,2.0,2.0,CHI - Portage Park,1000.0,,1975.0,1,160.0,300.0,Active,,,http://www.redfin.com/IL/Chicago/4572-N-Milwaukee-Ave-60630/unit-5A/home/13479870,MRED,11267913,N,Y,41.9639287,-87.758371,160000,2.0,2.0,1000.0,1975.0,356309.8947905749
63,MLS Listing,,Condo/Co-op,1522 E 59th St Unit 3F,Chicago,IL,60637,97000,1.0,1.0,Hyde Park Manor,750.0,,1926.0,1,129.0,375.0,Active,,,http://www.redfin.com/IL/Chicago/1522-E-59th-St-60637/unit-3F/home/143505835,MRED,11267898,N,Y,41.7879653,-87.5880746,97000,1.0,1.0,750.0,1926.0,119494.04495606106
67,MLS Listing,,Condo/Co-op,1964 W Foster Ave Unit C,Chicago,IL,60640,359900,2.0,2.0,CHI - Lincoln Square,1400.0,,2000.0,1,257.0,172.0,Active,November-13-2021 12:00 PM,November-13-2021 04:00 PM,http://www.redfin.com/IL/Chicago/1964-W-Foster-Ave-60640/unit-C/home/12561265,MRED,11267860,N,Y,41.9762469,-87.6789547,359900,2.0,2.0,1400.0,2000.0,511645.8852224834
69,MLS Listing,,Condo/Co-op,1305 S Michigan Ave #1711,Chicago,IL,60605,294000,1.0,1.0,CHI - Near South Side,880.0,,2004.0,1,334.0,391.0,Active,,,http://www.redfin.com/IL/Chicago/1305-S-Michigan-Ave-60605/unit-1711/home/18920604,MRED,11267848,N,Y,41.8654091,-87.6236899,294000,1.0,1.0,880.0,2004.0,248919.11476039514
71,MLS Listing,,Single Family Residential,1105 N Homan,Chicago,IL,60651,260000,4.0,2.0,Humboldt Park,1285.0,5250.0,1885.0,1,202.0,,Active,,,http://www.redfin.com/IL/Chicago/1105-N-Homan-Ave-60651/home/22909482,GNIAR,504049,N,Y,41.9010713,-87.7114479,260000,4.0,2.0,1285.0,1885.0,126944.61612166045
72,MLS Listing,,Single Family Residential,1532 E 76th Pl,Chicago,IL,60619,289900,4.0,3.0,CHI - South Shore,2000.0,3123.0,1903.0,1,145.0,,Active,,,http://www.redfin.com/IL/Chicago/1532-E-76th-Pl-60619/home/13920312,MRED,11267836,N,Y,41.7562088,-87.5869831,289900,4.0,3.0,2000.0,1903.0,585604.1114580077
73,MLS Listing,,Single Family Residential,7923 S Indiana Ave,Chicago,IL,60619,190000,4.0,1.0,CHI - Chatham,1050.0,4752.0,1925.0,1,181.0,,Active,,,http://www.redfin.com/IL/Chicago/7923-S-Indiana-Ave-60619/home/13226346,MRED,11267837,N,Y,41.7503155,-87.61939,190000,4.0,1.0,1050.0,1925.0,-113678.85432300065
74,MLS Listing,,Condo/Co-op,2501 W Bryn Mawr Ave #207,Chicago,IL,60659,232000,2.0,1.0,CHI - Lincoln Square,782.0,,1957.0,1,297.0,182.0,Active,,,http://www.redfin.com/IL/Chicago/2501-W-Bryn-Mawr-Ave-60659/unit-207/home/26804524,MRED,11267835,N,Y,41.9828612,-87.6922792,232000,2.0,1.0,782.0,1957.0,55562.68971413886
75,MLS Listing,,Single Family Residential,6917 S King Dr,Chicago,IL,60637,314900,5.0,3.0,CHI - Greater Grand Crossing,2628.0,3101.0,1912.0,1,120.0,,Active,,,http://www.redfin.com/IL/Chicago/6917-S-King-Dr-60637/home/13928400,MRED,11267824,N,Y,41.7687987,-87.6150704,314900,5.0,3.0,2628.0,1912.0,686186.0407052133
76,MLS Listing,,Single Family Residential,1050 N Lorel Ave,Chicago,IL,60651,312500,4.0,2.0,CHI - Austin,1525.0,4665.0,1910.0,1,205.0,,Active,,,http://www.redfin.com/IL/Chicago/1050-N-Lorel-Ave-60651/home/13279524,MRED,11267823,N,Y,41.900061,-87.7597848,312500,4.0,2.0,1525.0,1910.0,231443.65194273274
77,MLS Listing,,Single Family Residential,5125 W 64th St,Chicago,IL,60638,319900,3.0,2.0,CHI - Clearing,1700.0,,1946.0,1,188.0,,Active,,,http://www.redfin.com/IL/Chicago/5125-W-64th-St-60638/home/13995248,MRED,11267822,N,Y,41.7758277,-87.7502105,319900,3.0,2.0,1700.0,1946.0,436838.1756773349
81,MLS Listing,,Single Family Residential,3830 W 64th St,Chicago,IL,60629,319000,4.0,2.0,CHI - West Lawn,2685.0,3101.0,1944.0,1,119.0,,Active,November-13-2021 12:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/3830-W-64th-St-60629/home/13990642,MRED,11255189,N,Y,41.7770807,-87.7190307,319000,4.0,2.0,2685.0,1944.0,638422.8741818499
82,MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 214N,Chicago,IL,60615,125000,1.0,1.0,Newport Condominiums,773.0,,1962.0,1,162.0,595.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-214N/home/13947356,MRED,11267785,N,Y,41.8064982,-87.5866451,125000,1.0,1.0,773.0,1962.0,167472.64680430572
87,MLS Listing,,Single Family Residential,5916 W 60th St,Chicago,IL,60638,275000,3.0,2.0,CHI - Clearing,1094.0,4051.0,1956.0,1,251.0,,Active,,,http://www.redfin.com/IL/Chicago/5916-W-60th-St-60638/home/14000917,MRED,11267775,N,Y,41.7836315,-87.7700106,275000,3.0,2.0,1094.0,1956.0,255590.65165071748
88,MLS Listing,,Single Family Residential,6428 W Raven St,Chicago,IL,60631,400000,4.0,2.5,CHI - Norwood Park,2346.0,3402.0,1942.0,1,171.0,,Active,,,http://www.redfin.com/IL/Chicago/6428-W-Raven-St-60631/home/13507407,MRED,11267768,N,Y,41.9939399,-87.7885725,400000,4.0,2.5,2346.0,1942.0,634025.8180916058
89,MLS Listing,,Condo/Co-op,70 W Huron St #2005,Chicago,IL,60654,250000,1.0,1.0,CHI - Near North Side,850.0,,1985.0,1,294.0,575.0,Active,,,http://www.redfin.com/IL/Chicago/70-W-Huron-St-60654/unit-2005/home/14101295,MRED,11267765,N,Y,41.8953693,-87.6309007,250000,1.0,1.0,850.0,1985.0,217922.04680320248
92,MLS Listing,,Condo/Co-op,1415 N Dearborn St Unit 12A,Chicago,IL,60610,298000,2.0,2.0,CHI - Near North Side,1300.0,,1977.0,1,229.0,1180.0,Active,November-13-2021 11:00 AM,November-13-2021 01:30 PM,http://www.redfin.com/IL/Chicago/1415-N-Dearborn-St-60610/unit-12A/home/14114539,MRED,11267753,N,Y,41.908244,-87.629737,298000,2.0,2.0,1300.0,1977.0,453888.67299827887
93,MLS Listing,,Condo/Co-op,2901 S Michigan Ave Unit 903-904,Chicago,IL,60616,112300,1.0,2.0,CHI - Douglas,1100.0,,1969.0,1,102.0,446.0,Active,,,http://www.redfin.com/IL/Chicago/2901-S-Michigan-Ave-60616/unit-903-904/home/177159323,MRED,11267737,N,Y,41.8416685,-87.6226075,112300,1.0,2.0,1100.0,1969.0,490425.3414912545
94,MLS Listing,,Condo/Co-op,1530 S State St #721,Chicago,IL,60605,365000,2.0,2.0,Dearborn Tower,1370.0,,2001.0,1,266.0,614.0,Active,November-13-2021 12:30 PM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1530-S-State-St-60605/unit-721/home/12713765,MRED,11267736,N,Y,41.8612054,-87.6284311,365000,2.0,2.0,1370.0,2001.0,503243.7003891445
96,MLS Listing,,Single Family Residential,5341 W Ferdinand St,Chicago,IL,60644,129500,3.0,1.5,CHI - Austin,1720.0,4800.0,1899.0,1,75.0,,Active,,,http://www.redfin.com/IL/Chicago/5341-W-Ferdinand-St-60644/home/13265479,MRED,11267724,N,Y,41.8886989,-87.7595157,129500,3.0,1.5,1720.0,1899.0,284521.589858782
99,MLS Listing,,Townhouse,1001 W Marquette Rd #1,Chicago,IL,60621,20000,4.0,2.0,CHI - Englewood,1340.0,,1972.0,1,15.0,,Active,,,http://www.redfin.com/IL/Chicago/1001-W-Marquette-Rd-60621/unit-1/home/13932231,MRED,11267699,N,Y,41.7722001,-87.6496788,20000,4.0,2.0,1340.0,1972.0,242707.5608578995
103,MLS Listing,,Condo/Co-op,1943 N Mohawk St #2,Chicago,IL,60614,1250000,3.0,2.5,CHI - Lincoln Park,1900.0,,2021.0,1,658.0,,Active,,,http://www.redfin.com/IL/Chicago/1943-N-Mohawk-St-60614/unit-2/home/177158706,MRED,11267680,N,Y,41.9177473,-87.6421767,1250000,3.0,2.5,1900.0,2021.0,690688.4104591832
104,MLS Listing,,Condo/Co-op,1255 S State St #1901,Chicago,IL,60605,330000,2.0,1.0,Vision on State,900.0,,2007.0,1,367.0,628.0,Active,November-13-2021 11:00 AM,November-13-2021 12:30 PM,http://www.redfin.com/IL/Chicago/1255-S-State-St-60605/unit-1901/home/21784695,MRED,11267663,N,Y,41.8661707,-87.6267747,330000,2.0,1.0,900.0,2007.0,149542.15154926525
106,MLS Listing,,Condo/Co-op,1350 W Fullerton Ave #405,Chicago,IL,60614,315000,1.0,1.0,Altgeld Club,1049.0,,1993.0,1,300.0,428.0,Active,November-14-2021 01:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1350-W-Fullerton-Ave-60614/unit-405/home/12771097,MRED,11261303,N,Y,41.9254567,-87.6621903,315000,1.0,1.0,1049.0,1993.0,290188.46234997176
107,MLS Listing,,Condo/Co-op,1201 S Prairie Ave #1206,Chicago,IL,60605,534900,2.0,2.0,The Grant,1207.0,,2008.0,1,443.0,590.0,Active,,,http://www.redfin.com/IL/Chicago/1201-S-Prairie-Ave-60605/unit-1206/home/21727686,MRED,11267658,N,Y,41.8671864,-87.6218681,534900,2.0,2.0,1207.0,2008.0,459361.76197270304
108,MLS Listing,,Condo/Co-op,500 W Superior St #1411,Chicago,IL,60654,555000,2.0,2.0,CHI - Near North Side,1250.0,,1972.0,1,444.0,1062.0,Active,,,http://www.redfin.com/IL/Chicago/500-W-Superior-St-60654/unit-1411/home/18946192,MRED,11267657,N,Y,41.895951,-87.642196,555000,2.0,2.0,1250.0,1972.0,432353.4039014294
110,MLS Listing,,Condo/Co-op,6007 N Sheridan Rd Unit 8K,Chicago,IL,60660,259900,2.0,2.0,CHI - Edgewater,1646.0,,1969.0,1,158.0,713.0,Active,,,http://www.redfin.com/IL/Chicago/6007-N-Sheridan-Rd-60660/unit-8K/home/13411327,MRED,11263219,N,Y,41.9913121,-87.6547605,259900,2.0,2.0,1646.0,1969.0,554785.6340946723
111,MLS Listing,,Townhouse,1549 W Asher St,Chicago,IL,60643,288000,4.0,2.5,CHI - West Pullman,1970.0,,2010.0,1,146.0,150.0,Active,,,http://www.redfin.com/IL/Chicago/1549-W-Asher-St-60643/unit-9-D/home/52635771,MRED,11267645,N,Y,41.6707183,-87.6606555,288000,4.0,2.5,1970.0,2010.0,591381.577377242
112,MLS Listing,,Condo/Co-op,260 E Chestnut St #804,Chicago,IL,60611,234900,1.0,1.0,Plaza on DeWitt,850.0,,1965.0,1,276.0,723.0,Active,,,http://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-804/home/14118846,MRED,11267647,N,Y,41.8986644,-87.6196021,234900,1.0,1.0,850.0,1965.0,195327.16367934877
